id,brand,x,y,name,category,likes,talking
179,CNN_iReport,-7.863611212,-17.81487995,CNN_iReport,Website,58700,1080
180,Community,5.282495875,-24.91570369,Community,Tv_show,1241122,18533
181,Converse,17.27125545,-9.966595095,Converse,Retail_and_consumer_merchandise,31678017,399719
182,Costco,-1.084269535,11.01428241,Costco,Retail_and_consumer_merchandise,599934,12263
183,Cost_Plus_World_Market,-6.11399541,19.0214735,Cost_Plus_World_Market,Retail_and_consumer_merchandise,514165,4143
184,Craftsman,-19.25221267,-10.48079754,Craftsman,Tools_equipment,970182,12128
185,Criminal_Minds,-17.09933893,-26.68497682,Criminal_Minds,Tv_show,12335858,93894
186,Cristiano_Ronaldo,27.96938756,11.48608872,Cristiano_Ronaldo,Athlete,46121055,1432465
187,Kelly_Clarkson,22.68711994,1.527978992,Kelly_Clarkson,Musician_band,5421408,74804
188,Dallas_Mavericks,-33.78986366,-3.383986176,Dallas_Mavericks,Professional_sports_team,2255909,22777
189,Dancing_with_the_Stars,-15.70426698,-24.20102921,Dancing_with_the_Stars,Tv_show,3536224,8884
190,David_Beckham,27.8236884,11.5229775,David_Beckham,Athlete,19405900,229629
191,Dell,0.768071738,-38.13532973,Dell,Computers,1735981,41765
192,Denver_Broncos,-13.8386708,-2.03850732,Denver_Broncos,Professional_sports_team,1385960,47583
193,Denver_Nuggets,-14.63089749,-1.743021127,Denver_Nuggets,Professional_sports_team,843656,12460
194,Deron_Williams,-16.02059817,3.83904125,Deron_Williams,Athlete,353001,3466
195,Derrick_Rose,-1.235751549,22.68900925,Derrick_Rose,Athlete,5648261,155432
196,Sarah_Palin,-27.97654148,-16.96787058,Sarah_Palin,Politician,3413849,35043
197,Detroit_Lions,-11.97511771,2.907994748,Detroit_Lions,Professional_sports_team,811890,16721
198,DeVry_University,1.389058088,20.15598975,DeVry_University,University,51463,2227
199,Dexter,3.849056241,-25.68683029,Dexter,Tv_show,12056914,136674
200,Dillard_s_Inc_,4.913589362,29.4895018,Dillard_s_Inc_,Clothing,186309,4703
201,Discover,-3.061570704,2.849996257,Discover,Product_service,861774,878
202,Dwight_Howard,-22.08375918,6.012502728,Dwight_Howard,Athlete,2474472,18332
203,Dwyane_Wade,-21.01075599,5.506044884,Dwyane_Wade,Athlete,6258502,193936
204,EasyJet,23.29447765,25.22269218,EasyJet,Travel_leisure,102842,14324
