id,brand,x,y
298,Axe_Angels_club,43.58253894,-2.115644489
299,Kevin_Garnett,-21.76760563,2.952457191
300,Kmart,-11.44186622,35.93955783
301,Kobe_Bryant,-1.355831461,-10.03917679
302,Kodak,-3.867233913,1.212648493
303,Kohl_s,-12.886266,29.01370993
304,Korean_Air_,23.10323072,26.34710033
305,BlackBerry_India,42.01056093,-2.584492063
306,Lady_Gaga,22.43249622,-0.204608959
307,flipkart_com,41.78590288,-2.393375673
308,Kingfisher,43.28332003,-2.898811834
309,Mumbai_Indians,42.76451695,-1.971553075
310,Lands_End,-10.2328866,23.19003642
311,Last_Call_by_Neiman_Marcus,5.774672123,29.98078557
312,Le_Cordon_Bleu,-5.192159797,1.348089421
313,Leica_Camera,-2.808847019,-37.76381406
314,Lil_Wayne,13.16966967,4.733018713
315,Pizza_Hut_Celebrations,42.65635705,-2.788752918
316,Liverpool_FC,25.96309026,10.82017816
317,Tata_Docomo,43.2757518,-2.659227343
318,Vodafone_Zoozoos,42.7930479,-1.852915882
319,Lowe_s_Home_Improvement,-9.711438494,29.49208762
320,Lufthansa,24.13076898,25.96126375
321,Mad_Men,1.161532028,-23.65173567
322,Manchester_United,26.23985297,10.87123308
323,Sony,8.149606072,-33.48953704
324,Master_Lock,-4.647746061,3.418118687
325,MERCEDES_AMG_PETRONAS,11.67836866,-2.479514295
326,Miami_Dolphins,-18.35383342,-1.047820696
327,Microsoft,-0.231982953,-40.80535742
328,Milwaukee_Bucks,-27.52755002,-3.601390486
329,Minnesota_Timberwolves,-27.46834442,-3.425770267
330,Minnesota_Vikings,-27.80894176,-4.791002616
331,MIT_Sloan_School_of_Management,-13.932964,-16.37413682
332,Modern_Family,-15.17470282,-27.29423278
333,Moen,-4.42627561,3.048901557
334,Mrs_Dash,-13.57518965,33.57669321
335,Nabisco_Cookies,-12.36647982,34.89810122
336,Navistar_International_Corporation,-3.439373572,-28.04894798
337,NCIS,-17.60486749,-27.0984774
338,New_Balance,-7.752389428,1.780977824
339,Newcastle_United,25.91451396,12.35707869
340,New_England_Patriots,5.873430363,0.540939391
341,New_Orleans_Hornets,-20.52353106,4.413235313
342,New_York_Giants,-15.44637071,6.743189992
343,New_York_Jets,-15.44778844,6.744904163
344,Nike,22.15425202,4.802440297
345,Nikon,-2.437161608,-38.08450636
346,Nordstrom,6.947516746,29.08417657
347,OfficeMax,-1.557265878,7.315363892
348,St_Louis_Rams,-7.954086416,9.918288138
349,Tennessee_Titans,-28.18683003,0.71428575
350,Old_Navy,-12.91388583,25.17313857
351,Omni_Hotels,3.808387825,6.108042363
352,Oreo,19.0618148,-9.123427759
353,Orlando_Magic,-22.12463151,5.924882766
354,Oscar_Mayer,-12.33410001,34.79017013
355,Overstock_com,-5.11691885,28.34277482
356,Panasonic,0.023150974,-38.05006112
357,Paramore,18.30229072,-17.52714673
358,PENTAX,-2.416086425,-38.02795003
359,Philadelphia_76ers,-14.88816949,14.5629392
360,Philadelphia_Eagles,-15.18031845,14.65059635
361,Phoenix_Suns,-17.28907369,3.386625662
362,The_Pittsburgh_Steelers,-15.87923056,12.22295638
363,Portland_Trail_Blazers,-19.38463299,3.242883864
364,Qantas,23.21815715,25.82719072
365,Qatar_Airways,23.2026137,24.78671372
366,Real_Madrid_C_F_,27.84750991,10.69638683
367,Red_Bull,12.23546804,-1.28151153
368,Red_Bull_Racing,11.79655549,-2.494670594
369,Reynolds_Wrap,-12.79110041,33.5411869
370,Rihanna,19.2400345,4.781822633
371,Rue_La_La,5.284575909,29.75974262
372,Sacramento_Kings,-19.56479659,2.809667161
373,Saks_Fifth_Avenue,7.888939687,28.732105
374,Sam_s_Club,-0.019949347,11.47727596
375,San_Diego_Chargers,0.875023388,-13.68319641
376,San_Francisco_49ers,-0.172664806,-14.11890597
377,Sara_Lee_Desserts,-12.29842811,35.27143768
378,SAS,23.31483027,25.53273586
379,Sears,-8.168445311,30.4437297
380,Seattle_Seahawks,3.357746099,9.421220379
381,Shakira,25.41063565,4.017505013
382,Singapore_Airlines,23.1930647,25.39764584
383,Sony_Electronics,0.608338421,-37.04959518
384,Southwest_Airlines,22.0667809,29.22219552
385,Sports_Authority,-10.63771432,5.923095504
386,Staples,-3.856470276,0.826120689
387,Steve_Nash,-17.71183491,3.967353748
388,St_Ives,-1.23473441,8.49822964
389,Tampa_Bay_Buccaneers,-18.52324347,-1.069966551
390,Target,-12.67113028,28.46839432
391,Taylor_Swift,24.45266992,-1.503977439
392,The_Bachelor,-16.16504212,-24.16672716
393,The_Boeing_Store,22.75434719,27.80632714
394,The_Cape,-2.576164856,-3.250856454
395,The_Container_Store,-7.535193294,19.49372413
396,The_Detroit_Pistons,-11.9051139,2.846917994
397,The_Fuqua_School_of_Business,-14.6803651,-16.32055004
398,The_Game,14.63041224,10.59293706
399,The_Home_Depot,0.198448326,11.81698395
400,The_Kansas_City_Chiefs,-7.967605402,9.919489978
401,The_North_Face,-12.53515293,-5.791897685
402,The_Oakland_Raiders,0.369956283,-12.76651794
403,The_Ross_School_of_Business,-14.7369111,-16.31662398
404,San_Antonio_Spurs,-33.77760479,-3.382484793
405,The_Wharton_School,-13.31364445,-16.34938081
406,PBS,-5.871650185,-24.80809861
407,Top_Gear,12.64015283,-2.729994467
408,Tottenham_Hotspur,25.89061435,12.20931301
409,Toys_R_Us,-16.86338602,23.4215696
410,TRESemme,-10.87566195,32.74810736
411,True_Blood,3.373583572,-26.20585575
412,ULTA_Beauty,4.84664001,30.02374932
413,University_of_Chicago_Booth_School_of_Business,-13.22303313,-16.69524868
414,US_Airways,22.05932821,28.29785412
415,Usher,18.86964017,5.027024594
416,Dallas_Cowboys,-35.17436792,-3.058064648
417,VOA_Middle_East_Voices,-6.51692159,-18.26621351
418,Vodafone_McLaren_Mercedes_The_Official_Page,11.76067008,-2.402914957
419,V,-2.508766253,-3.081286242
420,Walmart,-10.90813508,36.00108408
421,Washington_Redskins,-12.48944446,11.71496762
422,Washington_Wizards,-12.07752848,11.14018664
423,Weeds,3.959064415,-25.32659491
